         Cal_age(BP)     Mean rate(mm/yr)   95%CI_lower(mm/yr)   95%CI_upper(mm/yr) 
                3725             0.152428             -2.63114              2.90516 
                3700            0.0749573             -2.72861              2.94256 
                3675           -0.0829215             -2.97015              2.94306 
                3650            -0.252737             -3.04162              2.51056 
                3625            -0.285883             -2.88313              2.56406 
                3600            -0.273807             -3.16667              2.67362 
                3575            -0.379252             -3.25924              2.82331 
                3550            -0.308013             -3.25544              2.83457 
                3525            -0.441561             -3.48893              2.76333 
                3500            -0.669548              -3.8005              2.44937 
                3475            -0.640048              -4.0406              2.42342 
                3450            -0.467356              -3.7881              3.05923 
                3425             -0.48454             -3.67535               2.6998 
                3400            -0.662461             -4.14138              2.66453 
                3375            -0.637081              -3.8751              2.84846 
                3350            -0.477881             -4.02453              2.85618 
                3325            -0.552775             -4.38176              2.99262 
                3300            -0.659303             -4.05322              3.17625 
                3275            -0.671613             -4.59013              3.55979 
                3250            -0.680245             -4.32486               3.1875 
                3225            -0.601537             -4.46143              3.63638 
                3200            -0.697665              -4.6412              2.99572 
                3175            -0.822802             -4.55706              2.96666 
                3150            -0.753704             -4.38425              2.99276 
                3125            -0.735625             -4.66626              3.02537 
                3100            -0.791896             -4.86834              3.23345 
                3075            -0.556637             -4.28808              3.42899 
                3050            -0.639805             -4.59748              3.39031 
                3025            -0.743645             -4.56525              3.24334 
                3000            -0.624281             -4.55374              2.93459 
                2975            -0.497149             -4.54762              3.53514 
                2950            -0.690759             -4.29456              3.16218 
                2925            -0.671524             -4.09432              2.66693 
                2900            -0.627852             -4.40294              3.27704 
                2875            -0.771519             -4.26021              2.75143 
                2850            -0.669296             -4.31895              2.75851 
                2825            -0.673311             -4.23392              2.96842 
                2800            -0.574085             -3.85986              3.10433 
                2775            -0.757497             -4.18487              2.86556 
                2750            -0.783273             -4.14174              2.53357 
                2725            -0.660549             -3.64114              2.39428 
                2700            -0.924675             -3.94653                2.171 
                2675             -1.14826             -4.41213              1.70223 
                2650             -1.66648             -4.70227              1.45148 
                2625             -2.25455             -5.34947              0.65278 
                2600             -2.69008              -6.3937              0.89863 
                2575             -2.97353             -6.14029            0.0748777 
                2550             -3.31192             -7.20814            0.0716482 
                2525             -3.79734             -7.52215            -0.301426 
                2500             -4.13177             -8.11776             -0.33812 
